LOCATION,TIME,unemployment
AUS,2020-01-01,5.266629
AUS,2020-02-01,5.07595
AUS,2020-03-01,5.2171373333333335
AUS,2020-04-01,6.344234
AUS,2020-05-01,7.063467999999999
AUS,2020-06-01,7.4368213333333335
AUS,2020-07-01,7.479902
AUS,2020-08-01,6.798755666666667
AUS,2020-09-01,6.904956333333334
AUS,2020-10-01,6.9969909999999995
AUT,2020-01-01,4.4
AUT,2020-02-01,4.5
AUT,2020-03-01,4.6
AUT,2020-04-01,4.7
AUT,2020-05-01,5.7
AUT,2020-06-01,5.9
AUT,2020-07-01,5.7
AUT,2020-08-01,5.5
AUT,2020-09-01,5.4
AUT,2020-10-01,5.4
BEL,2020-01-01,5.1
BEL,2020-02-01,5
BEL,2020-03-01,5
BEL,2020-04-01,5.1
BEL,2020-05-01,5
BEL,2020-06-01,5
BEL,2020-07-01,5
BEL,2020-08-01,5.1
BEL,2020-09-01,5.2
BEL,2020-10-01,5.1
CAN,2020-01-01,5.533333333333333
CAN,2020-02-01,5.566666666666666
CAN,2020-03-01,7.866666666666666
CAN,2020-04-01,13
CAN,2020-05-01,13.733333333333333
CAN,2020-06-01,12.366666666666667
CAN,2020-07-01,10.866666666666667
CAN,2020-08-01,10.133333333333333
CAN,2020-09-01,9
CAN,2020-10-01,8.9
CHL,2020-01-01,8.169866666666666
CHL,2020-02-01,8.265792666666666
CHL,2020-03-01,9.114605333333333
CHL,2020-04-01,10.881820000000001
CHL,2020-05-01,11.72803
CHL,2020-06-01,12.2995
CHL,2020-07-01,12.240773333333333
CHL,2020-08-01,11.92866
CHL,2020-09-01,11.51546
COL,2020-01-01,10.850184333333333
COL,2020-02-01,11.158638333333334
COL,2020-03-01,12.502073
COL,2020-04-01,20.75673
COL,2020-05-01,21.59245333333333
COL,2020-06-01,21.132606666666668
COL,2020-07-01,20.29629
COL,2020-08-01,17.680716666666665
COL,2020-09-01,17.1159
CZE,2020-01-01,2
CZE,2020-02-01,2
CZE,2020-03-01,2.1
CZE,2020-04-01,2.2
CZE,2020-05-01,2.4
CZE,2020-06-01,2.7
CZE,2020-07-01,2.7
CZE,2020-08-01,2.8
CZE,2020-09-01,2.8
CZE,2020-10-01,2.9
DEU,2020-01-01,3.4
DEU,2020-02-01,3.6
DEU,2020-03-01,3.8
DEU,2020-04-01,4
DEU,2020-05-01,4.2
DEU,2020-06-01,4.3
DEU,2020-07-01,4.4
DEU,2020-08-01,4.5
DEU,2020-09-01,4.5
DEU,2020-10-01,4.5
DNK,2020-01-01,4.9
DNK,2020-02-01,4.9
DNK,2020-03-01,4.8
DNK,2020-04-01,4.9
DNK,2020-05-01,5.5
DNK,2020-06-01,6
DNK,2020-07-01,6.3
DNK,2020-08-01,6.3
DNK,2020-09-01,6
DNK,2020-10-01,5.8
EA19,2020-01-01,7.3
EA19,2020-02-01,7.2
EA19,2020-03-01,7.4
EA19,2020-04-01,7.2
EA19,2020-05-01,7.7
EA19,2020-06-01,7.9
EA19,2020-07-01,8.7
EA19,2020-08-01,8.6
EA19,2020-09-01,8.5
EA19,2020-10-01,8.4
ESP,2020-01-01,13.5
ESP,2020-02-01,13.5
ESP,2020-03-01,14.9
ESP,2020-04-01,15
ESP,2020-05-01,15.6
ESP,2020-06-01,15.9
ESP,2020-07-01,16.9
ESP,2020-08-01,16.6
ESP,2020-09-01,16.3
ESP,2020-10-01,16.2
EST,2020-01-01,4.7
EST,2020-02-01,4.7
EST,2020-03-01,4.8
EST,2020-04-01,6
EST,2020-05-01,7
EST,2020-06-01,8
EST,2020-07-01,7.8
EST,2020-08-01,8
EST,2020-09-01,8.1
EU27_2020,2020-01-01,6.5
EU27_2020,2020-02-01,6.5
EU27_2020,2020-03-01,6.6
EU27_2020,2020-04-01,6.6
EU27_2020,2020-05-01,7
EU27_2020,2020-06-01,7.2
EU27_2020,2020-07-01,7.8
EU27_2020,2020-08-01,7.7
EU27_2020,2020-09-01,7.6
EU27_2020,2020-10-01,7.6
EU28,2020-01-01,6.2
FIN,2020-01-01,6.9
FIN,2020-02-01,6.5
FIN,2020-03-01,6.7
FIN,2020-04-01,7.3
FIN,2020-05-01,8
FIN,2020-06-01,7.9
FIN,2020-07-01,8.6
FIN,2020-08-01,8.5
FIN,2020-09-01,8.3
FIN,2020-10-01,8.3
FRA,2020-01-01,7.7
FRA,2020-02-01,7.5
FRA,2020-03-01,8
